#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
2,Porvorim,9,Guruprasad R. Pawaskar,BJP,6961.0,2017,19656.0,35.41
3,Porvorim,9,Rajesh Valvaikar,AAP,846.0,2017,19656.0,4.3
4,Porvorim,9,Rajesh Vishnu Sinai Amonkar Alias Rajesh Amonkar,MAG,222.0,2017,19656.0,1.13
6,Porvorim,9,Wilbur Fredrick Ticlo,IND,144.0,2017,19656.0,0.73
7,Porvorim,9,Raju D\'Souza,SJP,133.0,2017,19656.0,0.68
5,Porvorim,9,None Of The Above,NOTA,176.0,2017,19656.0,0.9
1,Aldona,10,Glenn Souza Ticlo,BJP,9405.0,2017,21606.0,43.53
2,Aldona,10,Amarnath Panjikar,INC,4949.0,2017,21606.0,22.91
3,Aldona,10,Rosy Ursula D\'Souza,AAP,3272.0,2017,21606.0,15.14
4,Aldona,10,Mahesh Vithu Satelkar,MAG,3000.0,2017,21606.0,13.89
5,Aldona,10,Anandrao Narayanrao Nagvenkar,IND,643.0,2017,21606.0,2.98
7,Aldona,10,Osbert D\'Cunha,NCP,141.0,2017,21606.0,0.65
6,Aldona,10,None Of The Above,NOTA,196.0,2017,21606.0,0.91
1,Panaji,11,Sidharth Sripad Kuncalienker,BJP,7924.0,2017,17339.0,45.7
2,Panaji,11,Atanasio J. Monserrate,UGP,6855.0,2017,17339.0,39.54
3,Panaji,11,Valmiki Naik,AAP,1944.0,2017,17339.0,11.21
4,Panaji,11,Ketan Kirtikumar Prabhu Bhatikar,GSM,323.0,2017,17339.0,1.86
6,Panaji,11,Dominic Savio A. E. Fernandes,NCP,62.0,2017,17339.0,0.36
7,Panaji,11,Dilip Ghadi,IND,36.0,2017,17339.0,0.21
8,Panaji,11,Parshuram Dodamani,IND,20.0,2017,17339.0,0.12
5,Panaji,11,None Of The Above,NOTA,175.0,2017,17339.0,1.01
1,Taleigao,12,Jennifer Monserrate,INC,11534.0,2017,22556.0,51.13
